sample ID, execution time,W 5A probe , W 30A probe
35,  17797,  66.777,  104.410
36,  18320,  66.265,  91.561
37,  18846,  64.659,  104.768
38,  19369,  65.491,  104.901
39,  19892,  65.703,  99.463
40,  20416,  65.836,  94.443
41,  20940,  67.856,  96.779
42,  21463,  66.258,  96.180
43,  21985,  65.204,  101.699
44,  22510,  66.184,  102.948
45,  23034,  66.960,  101.256
46,  23557,  67.861,  94.291
47,  24080,  63.701,  97.999
48,  24605,  65.629,  99.014
49,  25128,  66.422,  93.607
50,  25653,  65.533,  92.225
51,  26177,  64.790,  99.305
52,  26701,  65.321,  99.075
53,  27223,  64.826,  97.036
54,  27746,  65.445,  98.294
55,  28270,  65.675,  95.589
56,  28794,  65.118,  98.913
57,  29317,  63.930,  94.597
58,  29840,  64.784,  105.451
59,  30364,  66.173,  96.580
60,  30887,  66.306,  93.916
61,  31410,  64.208,  95.038
62,  31934,  64.415,  95.891
63,  32458,  63.134,  92.329
64,  32981,  63.184,  94.902
65,  33504,  64.800,  94.495
66,  34028,  63.217,  89.245
67,  34550,  62.308,  86.954
68,  35073,  65.671,  88.347
69,  35596,  64.066,  87.028
70,  36120,  62.901,  90.846
71,  36643,  62.620,  91.701
72,  37166,  65.144,  90.927
73,  37689,  64.006,  90.218
74,  38213,  63.006,  95.153
75,  38737,  62.628,  89.932
76,  39260,  61.230,  91.244
77,  39783,  64.528,  99.721
78,  40307,  65.783,  93.436
79,  40830,  64.199,  95.004
80,  41353,  62.959,  93.091
81,  41877,  65.206,  95.589
82,  42401,  65.569,  143.891
83,  42924,  63.554,  104.257
84,  43445,  65.713,  91.455
85,  43969,  65.168,  96.091
86,  44493,  65.491,  97.803
87,  45016,  63.470,  98.555
88,  45539,  64.212,  93.642
sample ID, execution time,W 5A probe , W 30A probe
2,  525,  66.808,  91.455
3,  1048,  66.500,  94.631
4,  1572,  65.439,  119.403
5,  2096,  63.562,  105.816
6,  2619,  64.831,  96.247
7,  3142,  65.694,  173.317
8,  3666,  66.211,  99.111
9,  4190,  64.253,  95.610
10,  4713,  64.084,  107.682
11,  5235,  65.695,  159.677
12,  5761,  67.868,  431.361
13,  6286,  66.675,  264.640
14,  6809,  66.468,  137.031
15,  7332,  66.973,  216.420
16,  7856,  65.070,  119.178
17,  8379,  67.586,  276.372
18,  8902,  66.756,  202.337
19,  9426,  66.894,  176.886
20,  9950,  66.610,  160.620
21,  10473,  65.284,  139.723
22,  10996,  66.788,  176.657
23,  11521,  66.811,  154.909
24,  12044,  64.235,  105.146
25,  12567,  63.733,  98.196
26,  13091,  63.582,  95.623
27,  13615,  64.341,  96.680
28,  14138,  66.852,  108.514
29,  14661,  63.571,  99.205
30,  15187,  64.941,  98.201
31,  15711,  64.216,  101.097
32,  16234,  66.702,  97.276
33,  16757,  66.142,  101.129
34,  17281,  64.201,  93.057
35,  17804,  65.206,  90.644
36,  18327,  66.043,  92.190
37,  18850,  65.517,  95.004
38,  19374,  64.560,  94.359
39,  19896,  67.083,  91.713
40,  20419,  66.506,  99.108
41,  20942,  64.771,  92.503
42,  21466,  66.283,  91.561
43,  21989,  65.926,  95.979
44,  22511,  64.470,  218.590
45,  23034,  66.689,  91.350
46,  23558,  66.285,  94.597
47,  24084,  65.839,  101.509
48,  24607,  64.590,  96.347
49,  25133,  64.629,  94.103
50,  25656,  66.997,  98.978
51,  26179,  66.285,  95.946
52,  26702,  66.345,  96.746
53,  27226,  63.939,  94.052
54,  27749,  64.662,  93.401
55,  28272,  65.194,  104.102
56,  28797,  64.950,  94.239
57,  29321,  66.332,  97.770
58,  29844,  66.018,  98.032
59,  30369,  67.750,  95.589
60,  30893,  64.013,  99.786
61,  31416,  65.671,  94.631
62,  31939,  64.593,  97.342
63,  32463,  65.222,  101.032
64,  32990,  64.655,  97.835
65,  33513,  63.721,  97.011
66,  34036,  66.610,  93.607
67,  34560,  65.533,  94.529
68,  35083,  64.649,  108.454
69,  35607,  66.670,  102.234
70,  36131,  65.495,  95.723
71,  36655,  66.190,  160.340
72,  37178,  64.024,  137.662
73,  37702,  66.269,  94.970
74,  38226,  65.485,  95.354
75,  38750,  65.676,  94.868
76,  39273,  66.914,  95.476
77,  39798,  66.966,  93.625
78,  40322,  64.937,  96.480
sample ID, execution time,W 5A probe , W 30A probe
2,  528,  66.954,  95.261
3,  1051,  64.868,  92.815
4,  1575,  63.543,  93.967
5,  2099,  65.908,  94.087
6,  2622,  65.289,  121.738
7,  3146,  67.602,  105.207
8,  3670,  67.530,  180.277
9,  4194,  62.744,  98.653
10,  4717,  63.489,  98.978
11,  5240,  64.171,  95.341
12,  5766,  66.263,  108.818
13,  6289,  68.121,  411.810
14,  6813,  69.449,  334.485
15,  7337,  66.453,  212.029
16,  7861,  64.212,  111.665
17,  8384,  66.789,  246.283
18,  8908,  67.629,  231.021
19,  9432,  66.400,  150.907
20,  9959,  65.115,  180.293
21,  10482,  64.864,  104.318
22,  11005,  63.954,  105.116
23,  11530,  65.441,  176.312
24,  12053,  65.820,  162.034
25,  12576,  64.944,  130.966
26,  13101,  64.611,  96.954
27,  13625,  65.307,  99.786
28,  14148,  65.129,  104.595
29,  14673,  65.389,  108.582
30,  15197,  65.237,  98.978
31,  15720,  65.863,  104.010
32,  16243,  65.637,  95.778
33,  16768,  64.853,  101.063
34,  17292,  67.545,  102.642
35,  17815,  65.909,  96.746
36,  18339,  65.307,  95.778
37,  18865,  64.187,  93.642
38,  19388,  63.732,  98.685
39,  19911,  64.769,  96.613
40,  20436,  63.459,  98.917
41,  20960,  65.152,  97.011
42,  21482,  66.716,  94.990
43,  22005,  65.896,  88.637
44,  22530,  67.034,  99.401
45,  23054,  64.071,  98.490
46,  23577,  65.523,  96.180
47,  24100,  63.000,  98.392
48,  24624,  65.714,  101.002
49,  25147,  65.491,  97.441
50,  25671,  66.552,  102.077
51,  26195,  64.374,  100.523
52,  26719,  64.038,  93.195
53,  27245,  64.202,  97.999
54,  27768,  63.495,  94.018
55,  28291,  66.073,  100.203
56,  28815,  64.852,  98.032
57,  29339,  64.754,  96.280
58,  29863,  62.939,  100.364
59,  30386,  66.162,  99.234
60,  30909,  63.749,  99.850
61,  31432,  65.386,  94.869
62,  31957,  64.805,  94.917
63,  32481,  64.471,  95.711
64,  33004,  64.467,  96.347
65,  33526,  66.098,  98.583
66,  34049,  63.536,  92.607
67,  34573,  64.798,  104.041
68,  35097,  64.743,  93.436
69,  35620,  63.236,  97.011
70,  36148,  65.932,  95.790
71,  36671,  65.423,  121.289
72,  37194,  67.317,  160.200
73,  37717,  63.072,  94.393
74,  38241,  64.595,  96.113
75,  38764,  64.403,  92.190
76,  39287,  64.569,  95.610
77,  39813,  64.239,  96.091
sample ID, execution time,W 5A probe , W 30A probe
2,  526,  65.740,  92.085
3,  1050,  66.087,  96.755
4,  1574,  64.328,  93.642
5,  2097,  63.361,  97.770
6,  2619,  66.222,  123.573
7,  3142,  66.944,  101.825
8,  3666,  64.995,  172.648
9,  4190,  66.230,  100.203
10,  4715,  66.074,  100.523
11,  5239,  65.150,  95.274
12,  5763,  65.995,  267.765
13,  6285,  69.374,  443.382
14,  6808,  66.537,  201.111
15,  7333,  65.793,  142.568
16,  7856,  66.924,  143.869
17,  8378,  65.829,  141.845
18,  8901,  68.351,  222.075
19,  9426,  67.033,  182.981
20,  9949,  67.866,  232.739
21,  10471,  66.045,  168.511
22,  10996,  68.115,  179.743
23,  11520,  65.820,  135.142
24,  12043,  65.728,  146.961
25,  12568,  68.111,  183.343
26,  13092,  67.438,  146.589
27,  13618,  67.497,  102.485
28,  14141,  66.527,  102.454
29,  14664,  68.108,  97.638
30,  15188,  66.701,  101.224
31,  15712,  66.126,  113.830
32,  16235,  67.670,  99.528
33,  16759,  66.468,  102.892
34,  17283,  67.422,  100.171
35,  17806,  65.067,  101.478
36,  18329,  65.423,  100.043
37,  18853,  64.522,  99.366
38,  19377,  64.764,  94.665
39,  19900,  65.934,  103.235
40,  20423,  64.652,  100.811
41,  20947,  65.535,  101.730
42,  21471,  65.618,  107.711
43,  21994,  65.146,  93.882
44,  22521,  66.146,  103.110
45,  23043,  65.783,  101.480
46,  23566,  65.166,  100.428
47,  24091,  66.151,  95.254
48,  24615,  63.803,  101.857
49,  25138,  66.259,  94.393
50,  25662,  64.513,  100.938
