
muestra, tiempo ejecucion, sonda extra , sonda dut
83 ,41869 ,0.45332,2.26662
84 ,42374 ,0.42202,2.11011
85 ,42879 ,0.36697,1.83483

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,508 ,0.33719,1.68595
2 ,1013 ,0.33180,1.65902
3 ,1517 ,0.33212,1.66060
4 ,2021 ,0.33081,1.65403
5 ,2525 ,0.33555,1.67775
6 ,3029 ,0.42190,2.10948
7 ,3533 ,0.35084,1.75419
8 ,4037 ,0.35259,1.76296
9 ,4541 ,0.38959,1.94796
10 ,5045 ,0.56502,2.82510
11 ,5550 ,0.59725,2.98624
12 ,6054 ,0.36618,1.83089
13 ,6558 ,0.36223,1.81116
14 ,7062 ,0.29906,1.49532
15 ,7568 ,0.39120,1.95600
16 ,8071 ,0.61005,3.05025
17 ,8575 ,0.56977,2.84885
18 ,9080 ,0.52657,2.63286
19 ,9584 ,0.53383,2.66917
20 ,10090 ,0.64609,3.23043
21 ,10594 ,0.67832,3.39158
22 ,11099 ,0.58588,2.92940
23 ,11603 ,0.53984,2.69922
24 ,12107 ,0.44331,2.21653
25 ,12611 ,0.64677,3.23387
26 ,13115 ,0.65867,3.29334
27 ,13619 ,0.72185,3.60925
28 ,14123 ,0.50860,2.54302
29 ,14627 ,0.44800,2.24001
30 ,15132 ,0.38659,1.93293
31 ,15637 ,0.39432,1.97162
32 ,16141 ,0.36565,1.82827
33 ,16647 ,0.36391,1.81953
34 ,17151 ,0.36799,1.83996
35 ,17655 ,0.37025,1.85123
36 ,18159 ,0.37319,1.86595
37 ,18663 ,0.36824,1.84122
38 ,19170 ,0.35878,1.79392
39 ,19675 ,0.35966,1.79830
40 ,20179 ,0.36580,1.82901
41 ,20684 ,0.37175,1.85874
42 ,21189 ,0.37178,1.85888
43 ,21693 ,0.37313,1.86563
44 ,22197 ,0.36878,1.84389
45 ,22703 ,0.36434,1.82172
46 ,23207 ,0.36755,1.83777
47 ,23711 ,0.36680,1.83402
48 ,24215 ,0.36355,1.81774
49 ,24719 ,0.31008,1.55042
50 ,25224 ,0.33049,1.65246
51 ,25728 ,0.33256,1.66279
52 ,26232 ,0.32674,1.63368
53 ,26736 ,0.35165,1.75826
54 ,27241 ,0.31215,1.56074
55 ,27745 ,0.29114,1.45572
56 ,28250 ,0.30495,1.52473
57 ,28757 ,0.32098,1.60488
58 ,29262 ,0.36029,1.80146
59 ,29766 ,0.25806,1.29029
60 ,30270 ,0.23283,1.16414
61 ,30774 ,0.29820,1.49101
62 ,31280 ,0.25198,1.25992
63 ,31784 ,0.22957,1.14786
64 ,32289 ,0.23389,1.16946
65 ,32793 ,0.24704,1.23520
66 ,33297 ,0.24673,1.23363
67 ,33801 ,0.24904,1.24522
68 ,34305 ,0.23226,1.16132
69 ,34809 ,0.23064,1.15319
70 ,35314 ,0.23239,1.16195
71 ,35818 ,0.23158,1.15788
72 ,36324 ,0.23287,1.16436
73 ,36828 ,0.24274,1.21370
74 ,37333 ,0.23396,1.16978
75 ,37839 ,0.23514,1.17572
76 ,38344 ,0.24034,1.20170
77 ,38848 ,0.23696,1.18480
78 ,39354 ,0.23930,1.19652
79 ,39858 ,0.24174,1.20870
80 ,40362 ,0.23464,1.17322
81 ,40867 ,0.22901,1.14505
82 ,41371 ,0.26620,1.33098
83 ,41875 ,0.51593,2.57965
84 ,42380 ,0.42730,2.13650
85 ,42885 ,0.47058,2.35292
86 ,43389 ,0.38458,1.92292
87 ,43893 ,0.33093,1.65465
88 ,44397 ,0.38834,1.94170
89 ,44901 ,0.44456,2.22280
90 ,45405 ,0.43292,2.16461

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,508 ,0.30777,1.53883
2 ,1012 ,0.32354,1.61771
3 ,1516 ,0.32880,1.64401
4 ,2020 ,0.31716,1.58579
5 ,2524 ,0.35017,1.75083
6 ,3028 ,0.36536,1.82682
7 ,3532 ,0.34201,1.71006
8 ,4036 ,0.32899,1.64495
9 ,4540 ,0.29105,1.45526
10 ,5044 ,0.48701,2.43505
11 ,5550 ,0.51362,2.56808
12 ,6054 ,0.34433,1.72164
13 ,6558 ,0.33976,1.69879
14 ,7062 ,0.30288,1.51442
15 ,7566 ,0.34821,1.74105
16 ,8070 ,0.62698,3.13488
17 ,8574 ,0.60614,3.03072
18 ,9078 ,0.50848,2.54239
19 ,9582 ,0.53014,2.65070
20 ,10086 ,0.54642,2.73209
21 ,10593 ,0.64796,3.23981
22 ,11098 ,0.51312,2.56558
23 ,11602 ,0.54160,2.70799
24 ,12106 ,0.56119,2.80596
25 ,12610 ,0.61416,3.07078
26 ,13114 ,0.67013,3.35063
27 ,13618 ,0.55465,2.77325
28 ,14122 ,0.42584,2.12920
29 ,14627 ,0.43254,2.16269
30 ,15131 ,0.41119,2.05595
31 ,15635 ,0.44093,2.20464
32 ,16139 ,0.38589,1.92946
33 ,16645 ,0.38527,1.92633
34 ,17149 ,0.38621,1.93105
35 ,17653 ,0.39629,1.98145
36 ,18157 ,0.39879,1.99397
37 ,18661 ,0.38490,1.92448
38 ,19166 ,0.38477,1.92383
39 ,19673 ,0.38208,1.91041
40 ,20178 ,0.38239,1.91196
41 ,20683 ,0.42080,2.10402
42 ,21187 ,0.41463,2.07317
43 ,21691 ,0.41595,2.07974
44 ,22195 ,0.36859,1.84295
45 ,22701 ,0.37115,1.85576
46 ,23205 ,0.36906,1.84528
47 ,23709 ,0.29719,1.48593
48 ,24213 ,0.35647,1.78237
49 ,24718 ,0.32304,1.61521
50 ,25222 ,0.29820,1.49101
51 ,25726 ,0.32949,1.64745
52 ,26230 ,0.31390,1.56951
53 ,26735 ,0.29687,1.48437
54 ,27239 ,0.31190,1.55949
55 ,27743 ,0.29545,1.47727
56 ,28249 ,0.32899,1.64496
57 ,28755 ,0.31334,1.56669
58 ,29259 ,0.41902,2.09508
59 ,29763 ,0.39754,1.98771
60 ,30268 ,0.39930,1.99648
61 ,30772 ,0.25517,1.27584
62 ,31278 ,0.24093,1.20464
63 ,31782 ,0.28241,1.41206
64 ,32286 ,0.27502,1.37512
65 ,32790 ,0.29725,1.48625
66 ,33294 ,0.31540,1.57702
67 ,33799 ,0.31188,1.55940
68 ,34303 ,0.28254,1.41268
69 ,34807 ,0.24860,1.24302
70 ,35312 ,0.23671,1.18355
71 ,35816 ,0.23458,1.17291
72 ,36320 ,0.23193,1.15967
73 ,36825 ,0.24810,1.24052
74 ,37329 ,0.25055,1.25273
75 ,37836 ,0.24022,1.20108
76 ,38340 ,0.23089,1.15444
77 ,38845 ,0.23233,1.16164
78 ,39349 ,0.23362,1.16810
79 ,39855 ,0.24443,1.22213
80 ,40359 ,0.25036,1.25179
81 ,40863 ,0.24134,1.20671
82 ,41368 ,0.24598,1.22988
83 ,41872 ,0.24441,1.22205
84 ,42376 ,0.23281,1.16404
85 ,42882 ,0.47352,2.36759
86 ,43386 ,0.44882,2.24408
87 ,43890 ,0.43016,2.15080
88 ,44394 ,0.43417,2.17083

muestra, tiempo ejecucion, sonda extra , sonda dut
